,0
278,amidala  we must continue to rely on negotiation
279,bibble  negotiation weve lost all communicationsand where atre the
280,chancellors ambassadors how can we negotiate we must prepare to defend
281,ourselves
282,capt panaka  this is a dangerous situation your highness our security
283,volunteers will be no match against a battlehardened federation army
284,amidala  i will not condone a course of action that will lead us to war
285,
286,ext space landing craft  twilight fx
287,
288,six landing craft fly in formation toward the surface of the planet naboo
289,
290,ext naboo swamp  shallow lake  twilight
291,
292,three landing craft slowly descend through the cloud cover of the
293,perpetually gray twilight side of the planet one by one the federation
294,warships land in the eerie swamp
295,obiwans head emerges from the mud of a shallow lake for in the
296,background the activities of the invasion force can be seen in the mist
297,obiwan takes several deep breaths then dissapears again under the muddy
298,swamp troop transports mtts emerge from the landing craft
299,
300,ext naboo edge of swamp  grass plains  twilight fx
301,
302,the droid invasion force moves out of the swamp and onto a grassy plain
303,oom in his tank looks out over the vast army marching across the
304,rolling hills a small hologram of rune and nute stands on the tank
305,
306,rune  and there is no trace of the jedi they may have gotton onto one
307,of your landing craft
308,oom  if they are down here sir well find them we are moving out of
309,the swamp and are marching on the cities we are meeting no resistance
310,nute  excellent
311,
312,ext naboo swamp  twilight
313,
314,quigon runs through the strange landscape glancing back to see the
315,monstrous troop transports emerging from the mist animals begin to run
316,past him in a panic
317,an odd froglike gungan jar jar inks squats holding a clam he has
318,retrieved from the murky swamp the shell pops open jar jars greta tongue
319,snaps out and grabs the clam swallowing it in one gulp
320,jar jar looks up and sees quigon and the other creatures running like the
321,wind toward him one of the huge mtts bears down on the jedi like a
322,charging locomotive jar jar stands transfixed still holding the clam
323,shell in one hand
324,
325,jar jar  oh noooooooooo
326,
327,jar jar drops the shell and grabs onto quigon as he passes the jedi is
328,caught by surprise
329,
330,jar jar  contd hey help me help me
331,quigon  let go
332,
333,the machine is about tp crush them as quigon drags jar jar behind him
334,just as the transport is about to hit them quigon drops and jar jar goes
335,splat into the mud with him the transport races overhead
336,quigon and jar jar pull themselves out of the mud they stand watching the
337,war machine dissapear into the mist jar jar grabs quigon and hugs him
338,
339,jar jar  oyi mooiemooie i luv yous
340,
341,the froglike creature kisses the jedi
342,
343,quigon  are you brainless you almost got us killed
344,jar jar  i spake
345,quigon  the ability to speak does not make you intelligent now get outta
346,here
347,
348,quigon starts to move off and jar jar follows
349,
350,jar jar  nono mesa staymesa yous humble servaunt
351,quigon  that wont be necessary
352,jar jar  oh boot tis tis demunded byda guds tis a live debett tis mesa
353,culled jaja binkss
354,
355,in the distance two staps burst out of the mist at high speed chasing
356,obiwan
357,
358,quigon  i have no time for this now
359,jar jar  say what
360,
361,the two staps barrell down on obiwan
362,
363,jar jar  contd oh nooooo weesa ganna
364,
365,quigon throws jar jar into the mud
366,
367,quigon  stay down
368,
369,his head pops up
370,
371,jar jar  dieeee
372,
373,the two troops fire laser bolts at obiwan quigon deflects the bolts
374,back and the staps blow up onetwo obiwan is exhausted and tries to
375,catch his breath
376,
377,obiwan  sorry master the water fried my weapon
378,
379,obiwan pulls out his burnt laser sword handle quigon inspects it as jar
380,jar pulls himself out of the mud
381,
382,quigon  you forgot to turn your power off again didnt you
383,
384,obiwan nods sheeplishly
385,
386,quigon  contd it wont take long to recharge but this is a lesson i
387,hope youve learned my young padawan
388,obiwan  yes master
389,jar jar  yousa saved my again hey
390,obiwan  whats this
391,quigon  a local lets go before more of those droids show up
392,jar jar  mure mure did you spake
393,
394,obiwan and quigon start to run jar jar tries to keep up
395,
396,jar jar  contd exsqueeze me but da moto grande safe place would be
397,otoh gunga tis where i grew uptis safe city
398,
399,they all stop
400,
401,quigon  a city jar jar nods his head can you take us there
402,jar jar  ahhh willon second tautno not willy
403,quigon  no
404,jar jar  iss embarrissing boot my afrai myve bean banished my
405,forgoten der bosses would do terrible tings to my terrible tings if my
406,goen back dare
407,
408,a pulsating sound is heard in the distance
409,
410,quigon  you hear that
411,
412,jar jar shakes his head yes
413,
414,quigon  contd thats the sound of a thousand terrible things heading
415,this way
416,obiwan  when they find us they will crush us grind us into little
417,pieces then blast us into oblivion
418,jar jar  oh yousa point is well seen dis way hurry
419,
420,jar jar turns and runs into the swamp
421,
422,ext naboo swamp lake  twilight
423,
424,quigon obiwan and jar jar run into a murky lake and stop as jar jar
425,tries to catch his breath the transports are heard in the distance
426,
427,quigon  much farther
428,jar jar  wesa goen underwater okeyday
429,
430,quigon and obiwan pull out small capsule from their utility belts that
431,turn into breathing masks
432,
433,jar jar  contd my warning yous gungans no liken outlaunders dont
434,expict a wern welcome
435,obiwan  dont worry this has not been our day for warm welcomes
436,
437,jar jar jumps does a double somersault with a twist and dives into the
438,water
439,breath masks on quigon and obiwan wade in after him
440,
441,ext naboo lake  underwater
442,
443,quigon and obiwan swim behind jar jar who is very much at home in the
444,water down they swim into murky depths in the distance the glow of otoh
445,gunga an underwater city made up of large bubbles becomes more distinct
446,they approach the strange art nouveau habitat jar jar swims magically
447,through one of the bubble membranes which seals behind him obiwan and
448,quigon follow
449,
450,int otoh gunga  city square
451,
452,gungans in the square scatter when they see the strange jedi four guards
453,armed with long electropoles ride twolegged kaadus into the square the
454,guards led by captain tarpals point their lethal poles at the dripping
455,trio
456,
457,jar jar  heyodalee capn tarpals mesa back
458,capt tarpals  noah gain jar jar yousa goen tada bosses yousa in big
459,dudu this time
460,
461,capt tarpals gives jar jar a slight zap with his power pole jar jar jumps
462,and moves off followed by the two jedi
463,
464,jar jar  how wude
465,
466,int otoh gunga  high tower board room
467,
468,the bosses board room has bubble walls with small lighted fish swimming
469,around outside like moving stars a long circular judges bench filled with
470,gungan officials dominates the room obiwan and quigon stand facing boss
471,nass who sits on a bench higher than the others
472,
473,boss nass  yousa cannot bees hair dis army of mackineeks up dare tis new
474,weesong
475,quigon  that droid army is about to attack the naboo we must warn them
476,boss nass  wesa no like da naboo un dey no like ussens da naboo tink
477,day so smarty den usens day tink day brains so big
478,obiwan  after those droids take control of the surface they will come
479,here and take control of you
480,boss nass  no mesa no tink so mesa scant talkie witda naboo and no
481,nutten talkie it outlaunders dos mackineeks no comen here dey not know of
482,ussen
483,obiwan  you and the naboo form a symbiont circle what happens to noe of
484,you will affect the other you must understand this
485,boss nass  wesa wish no nutten in yousa tings outlaunder and wesa no
486,caren about da naboo
487,quigon  waves his hand then speed us on our way
488,boss nass  wesa gonna speed yousaway
489,quigon  we need a transport
490,boss nass  wesa give yousa una bongo da speedest way tooda naboo tis goen
491,through da core now go
492,quigon  thank you for your help we go in peace
493,
494,quigon and obiwan turn to leave
495,
496,obiwan  master whats a bongo
497,quigon  a transport i hope
498,
499,the jedi notice jar jar in chains to one side waiting to hear his verdict
500,quigon stops jar jar gives him a forlorn look
501,
502,jar jar  daza setten yous up goen through da planet core is bad bombin
503,quigon  thank you my friend
504,jar jar  ahhhany hep hair would be hot
505,
506,jar jars soulful look is counterpointed by a sheepish grin
507,
508,obiwan  we are short of time master
509,quigon  well need a navigator to get us through the planets core this
510,gungan my be of help
511,
512,quigon walks bact to boss nass
513,
514,quigon  contd what is to become of jar jar binks here
515,boss nass  binkss brokeen the nocombackie law hisen to be puneished
516,quigon  he has been a great help to us i hope the punishment will not be
517,too severe
518,boss nass  pounded unto death
519,jar jar  grimacing ooooohouch
520,
521,obiwan looks concerned quigon is thinking
522,
523,quigon  we need a navigator to get us through the planets core i have
524,saved jar jar binks life he owes me what you call a lifedebt
525,boss nass  binks yousa havena liveplay with thisen hisen
526,
527,jar jar nods and joins the jedi quigon waves his hand
528,
529,quigon  your gods demand that his life belongs to me now
530,boss nass  hisen live tis yos outlauder begone wit him
531,jar jar  count mesa outta dis better dead here den deader in da
532,coreyee guds whata mesa sayin
533,
534,ext naboo city  underwater  sub fx
535,
536,a strange little submarine propels itself away from the otoh gunga leaving
537,the glow of the settlement in the distance
538,
539,int sub cockpit  underwater
540,
541,obiwan in the copilots seat jar jar guides the craft
542,
543,jar jar  dis is nusen
544,obiwan  master why do you keep dragging these pathetic life forms along
545,with ushere take over
546,jar jar  hey ho where wesa goen
547,quigon  youre the navigator
548,jar jar  yo dreamen mesa hopenbr quigon  just relax the force will
549,guide us
550,jar jar  ooooh maxibigda forcewellen dat smells stinkowiff
551,
552,jar jar veers the craft to the left and turns the lights on the coral
553,vistas are grand fantastic and wonderous
554,
555,obiwan  why were you banished jar jar
556,jar jar  tis a long tale buta small part wawdabe
557,mesaoooohaaaaclumsy
558,obiwan  they banished you because youre clumsy
559,
560,as the little sub glides into the planet core a large dark shape begins to
561,follow
562,
563,jar jar  mesa causeed mabee one or duey lettal bitty axadentesyudsay
564,boom da gasser un crash der bosses heyblibberden banished
565,
566,suddenly there is a loud crash and the little craft lurches to one side
567,quigon looks around and sees a huge lumimnous opee sea killer has hooked
568,them with its long gooey tongue
569,
570,quigon  full speed ahead
571,
572,instead of full ahead jar jar jams the controls into reverse the sub
573,flies into the mouth of the creature
574,
575,jar jar  oooops
576,obiwan  give me the controls
577,
578,obiwan takes over the controls and the opee sea killer instantly releases
579,the sub from its mouth
580,
581,jar jar  wesa free
582,
583,as the sub zooms away they see a larger set of jaws munching on the
584,hapless killer the jaws belong to the incredible sando aqua monster the
585,lights on the tiny sub begin to flicker as they cruise deeper into the
586,gloom
587,
588,quigon  theres always a bigger fish
589,
590,int federation battleship  bridge
591,
592,nute and rune stand before a hologram of darth sidious
593,
594,nute  the invasion is on schedule my lord
595,darth sidious  good i have the senate bogged down in procedures by the
596,time this incident comes up for a vote they will have no choice but to
597,accept your control of the system
598,nute  the queen has great faith the senate will side with her
599,darth sidious  queen amidala is yound and naive you will find controlling
600,her will not be difficult you have done well viceroy
601,nute  thank you my lord
602,
603,darth sidious fades away
604,
605,rune  you didnt tell him about the missing jedi
606,nute  no need to report that to him until we have something to report
607,
608,int sub cockpit  underwater
609,
610,sparks are flying and water is leaking into the cabin the sound of the
611,power drive drops
612,
613,obiwan  were losing power
614,
615,obiwan is working with the sparking wires jar jar panics
616,
617,quigon  stay calm were not in trouble yet
618,jar jar  what yet monstairs out dare leakn in here alln sinkn and
619,nooooo power you nutsen when yousa tink wesa in trouble
620,obiwan  powers back
621,
622,the lights flicker on revealing an ugly colo claw fish right in front of
623,them
624,
625,jar jar  monstairs back
626,
627,the large colo claw fish is surprised and rears back the sub turns around
628,and speeds away
629,
630,jar jar  contd wesa in trouble now
631,quigon  relax
632,
633,quigon puts his hand on jar jars shoulder jar jar relaxes into a coma
634,
635,obiwan  you overdid it
636,
637,the colo claw fish leaps after the fleeing sub as it shoots out of the
638,tunnel and into the waiting jaws of the sando aqua monster
639,
640,obiwan contd this is not good
641,
642,jar jar regains consciousness
643,jar jar  wesa dead yet oie boie
644,
645,jar jars eyes bulge and he faints again the sub narrowly avoids the
646,deadly teeth of the aqua monster the colo claw fish chasing them isnt so
647,lucky it is munched in half by the larger predator the little sub slips
648,away
649,
650,quigon  head for that outcropping
651,
652,ext theed  main road into theed  day fx
653,
654,the long columns of the droid army move down the main road leading to
655,theed the naboo capital
656,
657,ext theed plaza  day fx
658,
659,as the queen watches helplessly from a window in the palace a transport
660,carrying nute and rune lands in theed plaza they exit the transport
661,
662,nute  ah victory
663,
664,int naboo lake  underwater  sub fx
665,
666,the little sub continue to propel itself toward the surface which is
667,brightly lit
668,
669,jar jar  wesa dude it
670,
671,ext theed  estuary  day
672,
673,paradise billowing clouds frame a romantic body of water there is a loud
674,rush of bubbles and a small sub bobs to the surface
675,the current in the estuary begins to pull the sub backward into a fast
676,moving river obiwan switches off the two remaining bubble canopies
677,quigon stands up to look around jar jar lets out a sigh of relief
678,
679,jar jar  wesa safe now
680,quigon  get this thing started
681,jar jar  dissen berry good hey
682,obiwan  what is it
683,
684,jar jar looks back to where theyre drifting he sees they are headed for a
685,huge waterfall
686,
687,jar jar  what oie boie
688,
689,obiwan tries to start the engine the long props behind the sub slowly
690,begin to rotate obiwan struggles until finally a few feet short of the
691,waterfall the sub starts and is able to generate enough power to stop
692,drifting backward in the powerful current the sub slowly moves forward in
693,the background quigon takes a cable out of his belt the engine coughs
694,and dies they start drifting backward again jar jar panics
695,
696,jar jar  contd iyiiyi wesa dien here hey
697,
698,quigon shoots the thin cable and it wraps itself around a railing on the
699,shore the sub pulls the cable taut and the little craft hangs
700,precariously over the edge of the waterfall
701,
702,quigon  come on
703,
704,obiwan climbs out of the sub and pulls himself along the cable quigon
705,starts in after him
706,
707,quigon  contd come on jar jar
708,jar jar  no too scary
709,obiwan  get up here
710,jar jar  no a mighty no
711,
712,jar jar looks back and sees he is hanging over the waterfall
713,
714,jar jar  contd oie boiemesa comen mesa comen
715,
716,jar jar starts to climb out of the sub obiwan is on shore and helps to
717,pull quigon out of the water
718,
719,obiwan  that was close
720,battle droid b  os drop your weapons
721,
722,the two jedi turn around to see a battle droid standing in front of them
723,jar jar climbs up on shore between the jedi
724,
725,battle droid b  i said drop your weapons
726,
727,quigon ignites his laser sword and in a brief flash the droid is cut
728,down by the jedi a stray laser bolt hits the cable and the sub breaks
729,lose crashing down the waterfall
730,the jedi move on jar jar reluctantly follows and looks back at the mess
731,
732,jar jar  whoa
733,
734,ext theed  palace  day
735,
736,the waterfalls of theed sparkle in the noonday sun
737,
738,int theed  palace throne room  day
739,
740,queen amidala sio bibble and five of her handmaidens eirtae yane
741,padme rabe sache are surrounded by twenty droids captain panaka and
742,four naboo guards are also held at gunpoint nute and rune stand in the
743,middle of the room
744,
745,bibble  how will you explain this invasion to the senate
746,nute  the naboo and the federation will forge a treaty that will
747,legitimize our occupation here ive been assured it will be ratified by
748,the senate
749,amidala  i will not cooperate
750,nute  now now your highness you are not going to like what we have in
751,store for your people in time their suffering will persuade you to see
752,our point of view commander oom steps forward process them
753,oom  yes sir turns to his sergeant take them to camp four
754,
755,the sergeant marches the group out of the throne room
756,
757,ext palace  plaza  day
758,
759,queen amidala padme eirta yane rabe sache captain panaka sio
760,bibble
761,and four guards are led out of the palace by ten battle droids the plaza
762,is filled with tanks and battle droids which they pass on their way to the
763,detention camp unbeknownst to them quigon obiwan and jar jar sneak
764,across on a walkway above the plaza and jump from a balcony to begin an
765,attack to rescue the queen
766,
767,four battle droids are instantly cut down more droids move forward and are
768,also cut down by the jedis flashing lightsabres until there is only the
769,droid sergeant left the sergeant starts to run but is pulled back to
770,quigon by the force until finally he is dispatched by the jedi
771,
772,jar jar  yousa guys bombad
773,
774,queen amidala and the others are amazed jar jar is getting used to this
775,they move between two buildings
776,
777,quigon  your highness we are the ambassadors for the supreme
778,chancellor
779,bibble  your negotiations seem to have failed ambassador
780,quigon  the negotiations never took place your highness we must make
781,contact with the republic
782,
783,captain panaka steps forward
784,
785,capt panaka  theyve knocked out all our communications
786,quigon  do you have transports
787,capt panaka  in the main hanger this way
788,
789,they disappear down an alleyway as the alarms are sounded
790,
791,int central hanger  hallway  day
792,
793,captain panaka cracks open a side door to the central hanger quigon looks
794,in over his shoulder obiwan jar jar and the rest of the group are
795,behind him they see several naboo spacecraft guarded by about fifty battle
796,droids alarms can be heard in the distance
797,
798,capt panaka  there are too many of them
799,quigon  that wont be a problem to amidala your highness under the
800,circumstances isuggest you come to coruscant with us
801,amidala  thank you ambassador but my place is here with my people
802,quigon  they will kill you if you stay
803,bibble  they wouldnt dare
804,capt panaka  they need her to sign a treaty to make this invasion of
805,theirs legal they cant afford to kill her
806,quigon  the situation here is not what it seems there is something else
807,behind all this your highness there is no logic in the federations move
808,here my feelings tell me they will destroy you
809,bibble  please your highness reconsider our only hope is for the senate
810,to side with us senator palpatine will need your help
811,capt panaka  getting past their blockade is impossible your highness
812,any attempt to escape will be dangerous
813,bibble  your highness i will stay here and do what i canthey will have
814,to retain the council of governors in order to maintain control but you
815,must leave
816,
817,the queen turns to padme and eirtae
818,
819,amidala  either choice presents a great riskto all of us
820,padme  we are brave your highness
821,quigon  if you are to leave your highness it must be now
822,amidala  then i will plead our case before the senate to bibble be
823,careful governor
824,
825,int central hanger  day
826,
827,the door opens to the main hanger quigon obiwan jar jar captain
828,panaka two guards and three handmaidens padme eirtae rabe
829,followed
830,by queen amidala head for a sleek chrome spacecraft sio bibble yane and
831,sache stay behind the handmaidens begin to cry
832,
833,capt panaka  we need to free those pilots
834,
835,captain panaka points to twenty guards ground crew and pilots held in a
836,corner by six battle droids
837,
838,obiwan  ill take care of that obiwan heads toward the group of
839,captured pilots
840,
841,quigon and the queen captain panaka jar jar and the rest of the group
842,approach the guards at the ramp of the naboo craft
843,
844,guard droid  where are you going
845,quigon  im ambassador for the supreme chancellor and im taking those
846,people to coruscant
847,droid guard  youre under arrest
848,
849,the droid guard draws his weapon but before any of the droids can fire
850,they are cut down other guards run to their aid obiwan attacks the
851,guards around the pilots quigon stands fighting off droids as the others
852,rush on board the spacecraft obiwan the freed pilots including ric
853,olie guards and ground crew members rush on board the ship the other
854,pilots and guards race to sio bibblr after everyone has made it onto the
855,ship quigonjumps on board alarms sound more droids rush into the hanger
856,and fire as the ship takes off
857,
858,ext theed  hanger entry  day fx
859,
860,the ship exits the hanger battle droids standing in the hanger shoot at
861,them
862,
863,ext space fx
864,
865,the sleek spacecraft speeds away from the planet of naboo and heads for the
866,deadly federation blockade
867,
868,int naboo spacecraft  cockpit
869,
870,the pilot ric olie navigates toward the massive battleship quigon and
871,captain panaka watch
872,
873,ric olie  our communications are still jammed
874,
875,int naboo spacecraft  droid hold
876,
877,jar jar is led into a low cramped doorway by obiwan
878,
879,obiwan  now stay here and keep out of trouble
880,
881,obiwan closes the door jar jar looks around and sees a long row of five
882,short dometopped astro droids r units the all look alike except for
883,thier paint color and they all seem to be shut down
884,
885,jar jar  ello boyos no response disa wanna longo triphey
886,
887,jar jar taps a bright red r unit on the head and its head pops up a bit
888,he lets out a gasp as he lifts the head
889,
890,jar jar  contd tis opensoooops many springs and things come flying
891,out
892,
893,jar jar quickly closes it again very embarrassed
894,
895,jar jar  contd yoi just yoken
896,ric olie  powers back that little droid did it he bypassed the main
897,power drive deflector shield up at maximum
898,
899,the lone blue droid finishes his repairs and goes back into the ship the
900,naboo spacecraft races away from the federation battleship
901,
902,ric olie  theres not enough power to get us to coruscantthe hyperdrive
903,is leaking
904,quigon  well have to land somewhere to refuel and repair the ship
905,
906,quigon studies a star chart on a monitor
907,
908,obiwan  here master tatooine its small out of the way poor the
909,trade federation has no presence there
910,capt panaka  how can you be sure
911,quigon  its controlled by the hutts
912,capt panaka  the hutts
913,obiwan  its riskybut theres no alternative
914,capt panaka  you cant take her royal highness there the hutts are
915,gangsters if they discovered her
916,quigon  it would be no different than if we landed on a system
917,controlled by the federationexcept the hutts arent looking for her
918,which gives us an advantage
919,
920,cpatain panaka takes a deep breath in frustration
921,
922,ext space  naboo spacecraft fx
923,
924,the naboo spacecraft races away
925,
926,int federation battleship  conference room
927,
928,nute and rune sit around a conference table with a hologram of darth
929,sidious
930,
931,nute  we control all the cities in the north and are searching for any
932,other settlements
933,darth sidious  destroy all highranking officials
934,viceroyslowlyquietly and queen amidala has she signed the treaty
935,nute  she has disappeared my lord one naboo cruiser got pat the
936,blockade
937,darth sidious  viceroy find her i want that treaty signed
938,nute  my lord its impossible to locate the ship its out of our range
939,darth sidious  not for a sith
940,
941,a second sith lord appears behind darth sidious
942,
943,darth sidious  contd viceroy this is my apprentice lord maul he
944,will find your lost ship
945,nute  yes my lord the hologram fades off
946,nute  contd this is getting out of handnow there are two of them
947,rune  we should not have made this bargain what will happen when the jedi
948,become aware of these sith lords
949,
950,int naboo spacecraft  queens chambers
951,
952,quigon obiwan captain panaka and the little blue droid stand before
953,queen amidala and her three handmaidens padme eirtae and rabe
954,
955,capt panaka  an extremely well put together little droid without a
956,doubt it saved the ship as well as our lives
957,amidala  it is to be commendedwhat is its number
958,
959,the little blue droid lets out a series of bleepscaptain panaka leans over
960,and scrapes some dirt off of the side of the droid and read the number
961,
962,capt panaka  rd your highness
963,amidala  thank you artoo detoo you have proven to be very loyalpadme
964,
965,padme bows before the queen
966,
967,amidala  contd clean this droid up the best you can it deserves our
968,gratitudeto panaka continue captain
969,
970,captain panaka looks nervously to obiwan and quigon
971,
972,quigon  yor highness we are heading for a remote planet called tatooine
973,it is a system far beyond the reach of the trade federation there we will
974,be able to make needed repairs then travel on to coruscant
